"count.mut_threshold","num_unique_haplotypes","num_mutations_pass_threshold","average_haplotype_size","std_haplotype_size","num_unique_hap_country_combinations","average_hap_country_size","std_hap_country_size","total_sequences_in_final_analysis"
500,41095,9452,94.1839396520258,1127.7614598477,41095,94.1839396520258,1127.7614598477,3870489
1000,42692,6068,100.49707205097,1232.92944769518,42692,100.49707205097,1232.92944769518,4290421
1500,43505,4573,106.003241006781,1329.20749985114,43505,106.003241006781,1329.20749985114,4611671
3000,44521,2725,118.731475034253,1556.31199646506,44521,118.731475034253,1556.31199646506,5286044
7000,43354,1451,146.317571619689,2041.40102362758,43354,146.317571619689,2041.40102362758,6343452
10000,41374,1067,168.273746797506,2410.53246896411,41374,168.273746797506,2410.53246896411,6962158
20000,33336,587,246.938204943605,3567.2375114769,33336,246.938204943605,3567.2375114769,8231932
40000,24057,375,373.737290601488,5375.50293162059,24057,373.737290601488,5375.50293162059,8990998
70000,19628,308,471.953077236601,6762.74111135157,19628,471.953077236601,6762.74111135157,9263495
1e+05,2842,160,1373.28712174525,15409.2112389501,2842,1373.28712174525,15409.2112389501,3902882
140000,4727,173,1346.80918129892,16999.749836674,4727,1346.80918129892,16999.749836674,6366367
2e+05,2583,138,1797.58265582656,20724.0400125074,2583,1797.58265582656,20724.0400125074,4643156
4e+05,1835,116,2356.12752043597,27191.5967302902,1835,2356.12752043597,27191.5967302902,4323494
6e+05,4849,134,1855.3866776655,26400.1373662308,4849,1855.3866776655,26400.1373662308,8996770
8e+05,2695,116,2590.95621521336,33690.557427848,2695,2590.95621521336,33690.557427848,6982627
1e+06,1829,94,2906.44505194095,33357.6223256195,1829,2906.44505194095,33357.6223256195,5315888
1250000,3445,96,2690.13555878084,37298.1316758132,3445,2690.13555878084,37298.1316758132,9267517
1500000,2712,94,3041.00368731563,39097.466839898,2712,3041.00368731563,39097.466839898,8247202
