"count.mut_threshold","num_unique_haplotypes","num_mutations_pass_threshold","average_haplotype_size","std_haplotype_size","num_unique_hap_country_combinations","average_hap_country_size","std_hap_country_size","total_sequences_in_final_analysis"
500,41095,9452,94.1839396520258,1127.7614598477,41095,94.1839396520258,1127.7614598477,3870489
1000,42692,6068,100.49707205097,1232.92944769518,42692,100.49707205097,1232.92944769518,4290421
1500,43505,4573,106.003241006781,1329.20749985114,43505,106.003241006781,1329.20749985114,4611671
3000,44521,2725,118.731475034253,1556.31199646506,44521,118.731475034253,1556.31199646506,5286044
7000,43354,1451,146.317571619689,2041.40102362758,43354,146.317571619689,2041.40102362758,6343452
10000,41374,1067,168.273746797506,2410.53246896411,41374,168.273746797506,2410.53246896411,6962158
20000,33336,587,246.938204943605,3567.2375114769,33336,246.938204943605,3567.2375114769,8231932
40000,24057,375,373.737290601488,5375.50293162059,24057,373.737290601488,5375.50293162059,8990998
70000,19628,308,471.953077236601,6762.74111135157,19628,471.953077236601,6762.74111135157,9263495
1e+05,13516,252,665.650784255697,9084.1724980201,13516,665.650784255697,9084.1724980201,8996936
140000,3571,159,1488.2080649678,17984.2996236766,3571,1488.2080649678,17984.2996236766,5314391
2e+05,4487,158,1555.81034098507,21225.2682194881,4487,1555.81034098507,21225.2682194881,6980921
4e+05,2194,118,2116.49726526892,25017.8847916538,2194,2116.49726526892,25017.8847916538,4643595
6e+05,2631,117,2420.43785632839,31388.9555904245,2631,2420.43785632839,31388.9555904245,6368172
8e+05,1575,94,2745.17714285714,30040.5053494918,1575,2745.17714285714,30040.5053494918,4323654
1e+06,1222,83,3195.12438625205,31829.2589200011,1222,3195.12438625205,31829.2589200011,3904442
1250000,2791,96,2954.91329272662,38362.0386427656,2791,2954.91329272662,38362.0386427656,8247163
1500000,3367,95,2752.47074547075,37913.6508287092,3367,2752.47074547075,37913.6508287092,9267569
