"count.mut_threshold","num_unique_haplotypes","num_mutations_pass_threshold","average_haplotype_size","std_haplotype_size","num_unique_hap_country_combinations","average_hap_country_size","std_hap_country_size","total_sequences_in_final_analysis"
500,36423,19833,66.051890289103,359.874050488219,36423,66.051890289103,359.874050488219,2405808
1000,40366,12549,68.6146757171877,392.624849797439,40366,68.6146757171877,392.624849797439,2769700
1500,43126,9309,71.0686129017298,422.269892785444,43126,71.0686129017298,422.269892785444,3064905
3000,48067,5572,77.1066844196642,497.465025385464,48067,77.1066844196642,497.465025385464,3706287
7000,54985,2932,88.343784668546,657.64365707928,54985,88.343784668546,657.64365707928,4857583
10000,57808,2212,95.3955680874619,770.278128203443,57808,95.3955680874619,770.278128203443,5514627
20000,61636,1252,119.123077422286,1121.26355204695,61636,119.123077422286,1121.26355204695,7342270
40000,54406,663,185.04282615888,2057.97809371489,54406,185.04282615888,2057.97809371489,10067440
70000,44102,458,258.168518434538,3100.88728397663,44102,258.168518434538,3100.88728397663,11385748
1e+05,27821,341,409.580640523346,5118.32120528519,27821,409.580640523346,5118.32120528519,11394943
140000,16165,273,624.025796473863,7721.59083575293,16165,624.025796473863,7721.59083575293,10087377
2e+05,6824,183,1081.33543376319,13047.9418406013,6824,1081.33543376319,13047.9418406013,7379033
4e+05,3325,139,1671.35789473684,20745.2994185752,3325,1671.35789473684,20745.2994185752,5557265
6e+05,1836,112,2041.74673202614,23060.9873291619,1836,2041.74673202614,23060.9873291619,3748647
8e+05,867,67,3240.00692041523,26745.9920285484,867,3240.00692041523,26745.9920285484,2809086
1e+06,576,43,5390.46527777778,37111.2156938246,576,5390.46527777778,37111.2156938246,3104908
1250000,171,27,14293.0292397661,75651.3603589384,171,14293.0292397661,75651.3603589384,2444108
1500000,1278,66,3834.92253521127,37181.2205451115,1278,3834.92253521127,37181.2205451115,4901031
