"count.mut_threshold","num_unique_haplotypes","num_mutations_pass_threshold","average_haplotype_size","std_haplotype_size","num_unique_hap_country_combinations","average_hap_country_size","std_hap_country_size","total_sequences_in_final_analysis"
500,20450,1399,530.47564792176,13284.4994505785,20450,530.47564792176,13284.4994505785,10848227
1000,18775,956,583.252942743009,14112.6097453419,18775,583.252942743009,14112.6097453419,10950574
1500,17397,740,633.685463010864,14884.2052254345,17397,633.685463010864,14884.2052254345,11024226
3000,15223,502,732.074820994548,16385.5225379298,15223,732.074820994548,16385.5225379298,11144375
7000,12539,330,900.139086051519,18901.7777251747,12539,900.139086051519,18901.7777251747,11286844
10000,11625,277,975.072860215054,20047.285910524,11625,975.072860215054,20047.285910524,11335222
20000,8470,180,1355.15572609209,25266.5549190588,8470,1355.15572609209,25266.5549190588,11478169
40000,6865,142,1677.24049526584,29353.2271074691,6865,1677.24049526584,29353.2271074691,11514256
70000,6323,132,1824.04459908271,31603.8519598132,6323,1824.04459908271,31603.8519598132,11533434
1e+05,4665,120,2415.70782422294,38092.5305747475,4665,2415.70782422294,38092.5305747475,11269277
140000,4893,110,2353.39280604946,37605.9937067745,4893,2353.39280604946,37605.9937067745,11515151
2e+05,4210,102,2739.68622327791,41765.9954012483,4210,2739.68622327791,41765.9954012483,11534079
4e+05,2995,76,3825.90517529215,52046.3264640502,2995,3825.90517529215,52046.3264640502,11458586
6e+05,2531,71,4471.58079810352,59235.2252743355,2531,4471.58079810352,59235.2252743355,11317571
8e+05,2103,64,5291.98288159772,66300.1784704951,2103,5291.98288159772,66300.1784704951,11129040
1e+06,1941,58,5635.23338485317,68421.2456794561,1941,5635.23338485317,68421.2456794561,10937988
1250000,1523,47,7115.80302035456,79243.1416977646,1523,7115.80302035456,79243.1416977646,10837368
1500000,1399,44,7870.64689063617,86639.1523573988,1399,7870.64689063617,86639.1523573988,11011035
