count.mut_threshold,num_unique_haplotypes,num_mutations_pass_threshold,average_haplotype_size,std_haplotype_size,num_unique_hap_country_combinations,average_hap_country_size,std_hap_country_size,total_sequences_in_final_analysis,Type
500.0,36423,19833,66.051890289103,359.874050488219,36423,66.051890289103,359.874050488219,2405808,FG_Global_RNA
1000.0,40366,12549,68.6146757171877,392.624849797439,40366,68.6146757171877,392.624849797439,2769700,FG_Global_RNA
1500.0,43126,9309,71.0686129017298,422.269892785444,43126,71.0686129017298,422.269892785444,3064905,FG_Global_RNA
3000.0,48067,5572,77.1066844196642,497.465025385464,48067,77.1066844196642,497.465025385464,3706287,FG_Global_RNA
7000.0,54985,2932,88.343784668546,657.64365707928,54985,88.343784668546,657.64365707928,4857583,FG_Global_RNA
10000.0,57808,2212,95.3955680874619,770.278128203443,57808,95.3955680874619,770.278128203443,5514627,FG_Global_RNA
20000.0,61636,1252,119.123077422286,1121.26355204695,61636,119.123077422286,1121.26355204695,7342270,FG_Global_RNA
40000.0,54406,663,185.04282615888,2057.97809371489,54406,185.04282615888,2057.97809371489,10067440,FG_Global_RNA
70000.0,44102,458,258.168518434538,3100.88728397663,44102,258.168518434538,3100.88728397663,11385748,FG_Global_RNA
100000.0,38547,396,307.823955171609,3911.02169400809,38547,307.823955171609,3911.02169400809,11865690,FG_Global_RNA
140000.0,33109,331,370.479476879398,4833.15004771142,33109,370.479476879398,4833.15004771142,12266205,FG_Global_RNA
200000.0,29425,290,425.047068819031,5791.80948424128,29425,425.047068819031,5791.80948424128,12507010,FG_Global_RNA
400000.0,20688,226,629.302397525135,10720.0840994035,20688,629.302397525135,10720.0840994035,13019008,FG_Global_RNA
600000.0,17268,171,765.974403520964,14504.2823563235,17268,765.974403520964,14504.2823563235,13226846,FG_Global_RNA
800000.0,15860,164,838.218348045397,16419.7185500716,15860,838.218348045397,16419.7185500716,13294143,FG_Global_RNA
1000000.0,14561,149,918.424627429435,17770.5957912714,14561,918.424627429435,17770.5957912714,13373181,FG_Global_RNA
1250000.0,12479,122,1080.89854956327,22401.5356779979,12479,1080.89854956327,22401.5356779979,13488533,FG_Global_RNA
1500000.0,12322,119,1095.59478980685,22589.5100346208,12322,1095.59478980685,22589.5100346208,13499919,FG_Global_RNA
500.0,41095,9452,94.1839396520258,1127.7614598477,41095,94.1839396520258,1127.7614598477,3870489,FG_Global_NSP
1000.0,42692,6068,100.49707205097,1232.92944769518,42692,100.49707205097,1232.92944769518,4290421,FG_Global_NSP
1500.0,43505,4573,106.003241006781,1329.20749985114,43505,106.003241006781,1329.20749985114,4611671,FG_Global_NSP
3000.0,44521,2725,118.731475034253,1556.31199646506,44521,118.731475034253,1556.31199646506,5286044,FG_Global_NSP
7000.0,43354,1451,146.317571619689,2041.40102362758,43354,146.317571619689,2041.40102362758,6343452,FG_Global_NSP
10000.0,41374,1067,168.273746797506,2410.53246896411,41374,168.273746797506,2410.53246896411,6962158,FG_Global_NSP
20000.0,33336,587,246.938204943605,3567.2375114769,33336,246.938204943605,3567.2375114769,8231932,FG_Global_NSP
40000.0,24057,375,373.737290601488,5375.50293162059,24057,373.737290601488,5375.50293162059,8990998,FG_Global_NSP
70000.0,19628,308,471.953077236601,6762.74111135157,19628,471.953077236601,6762.74111135157,9263495,FG_Global_NSP
100000.0,17784,283,526.372076023392,7688.06366525712,17784,526.372076023392,7688.06366525712,9361001,FG_Global_NSP
140000.0,15517,242,610.578720113424,9028.08526912819,15517,610.578720113424,9028.08526912819,9474350,FG_Global_NSP
200000.0,12606,215,762.544581945106,11809.3298730021,12606,762.544581945106,11809.3298730021,9612637,FG_Global_NSP
400000.0,9200,156,1062.88423913043,18381.8813032667,9200,1062.88423913043,18381.8813032667,9778535,FG_Global_NSP
600000.0,8194,147,1198.18977300464,20454.8167426306,8194,1198.18977300464,20454.8167426306,9817967,FG_Global_NSP
800000.0,6890,122,1433.39637155298,25319.8207632024,6890,1433.39637155298,25319.8207632024,9876101,FG_Global_NSP
1000000.0,6635,119,1490.227279578,26565.761551659,6635,1490.227279578,26565.761551659,9887658,FG_Global_NSP
1250000.0,6180,101,1604.10533980583,27938.019769181,6180,1604.10533980583,27938.019769181,9913371,FG_Global_NSP
1500000.0,5695,97,1743.90992098332,29618.6158469752,5695,1743.90992098332,29618.6158469752,9931567,FG_Global_NSP
500.0,41095,9452,94.1839396520258,1127.7614598477,41095,94.1839396520258,1127.7614598477,3870489,FG_Global_ORF
1000.0,42692,6068,100.49707205097,1232.92944769518,42692,100.49707205097,1232.92944769518,4290421,FG_Global_ORF
1500.0,43505,4573,106.003241006781,1329.20749985114,43505,106.003241006781,1329.20749985114,4611671,FG_Global_ORF
3000.0,44521,2725,118.731475034253,1556.31199646506,44521,118.731475034253,1556.31199646506,5286044,FG_Global_ORF
7000.0,43354,1451,146.317571619689,2041.40102362758,43354,146.317571619689,2041.40102362758,6343452,FG_Global_ORF
10000.0,41374,1067,168.273746797506,2410.53246896411,41374,168.273746797506,2410.53246896411,6962158,FG_Global_ORF
20000.0,33336,587,246.938204943605,3567.2375114769,33336,246.938204943605,3567.2375114769,8231932,FG_Global_ORF
40000.0,24057,375,373.737290601488,5375.50293162059,24057,373.737290601488,5375.50293162059,8990998,FG_Global_ORF
70000.0,19628,308,471.953077236601,6762.74111135157,19628,471.953077236601,6762.74111135157,9263495,FG_Global_ORF
100000.0,17784,283,526.372076023392,7688.06366525712,17784,526.372076023392,7688.06366525712,9361001,FG_Global_ORF
140000.0,15517,242,610.578720113424,9028.08526912819,15517,610.578720113424,9028.08526912819,9474350,FG_Global_ORF
200000.0,12606,215,762.544581945106,11809.3298730021,12606,762.544581945106,11809.3298730021,9612637,FG_Global_ORF
400000.0,9200,156,1062.88423913043,18381.8813032667,9200,1062.88423913043,18381.8813032667,9778535,FG_Global_ORF
600000.0,8194,147,1198.18977300464,20454.8167426306,8194,1198.18977300464,20454.8167426306,9817967,FG_Global_ORF
800000.0,6890,122,1433.39637155298,25319.8207632024,6890,1433.39637155298,25319.8207632024,9876101,FG_Global_ORF
1000000.0,6635,119,1490.227279578,26565.761551659,6635,1490.227279578,26565.761551659,9887658,FG_Global_ORF
1250000.0,6180,101,1604.10533980583,27938.019769181,6180,1604.10533980583,27938.019769181,9913371,FG_Global_ORF
1500000.0,5695,97,1743.90992098332,29618.6158469752,5695,1743.90992098332,29618.6158469752,9931567,FG_Global_ORF
500.0,13503,1233,677.140339183885,14718.3504738855,23580,387.761916878711,5709.41716375476,9143426,Spike_Countries
1000.0,12360,845,748.803640776699,15677.0917769144,22508,411.196596765594,5960.06150978199,9255213,Spike_Countries
1500.0,11496,654,812.178148921364,16521.216640781,21571,432.840387557369,6188.65444838188,9336800,Spike_Countries
3000.0,9928,441,954.643634165995,18327.3078887104,19652,482.276714838184,6684.1745043956,9477702,Spike_Countries
7000.0,8132,291,1185.01438760453,21208.2197160605,17007,566.621802787088,7544.53765605123,9636537,Spike_Countries
